date,symbol,total,technical,fundamental,supply_demand,market,valuation,dividend
2026-07-15,8306.T,51,20,-1,0,-5,-13,0
2026-07-15,3741.T,43,-20,18,0,-5,0,0
2026-07-15,4188.T,43,14,-1,0,-5,-15,0
2026-07-15,8593.T,39,9,-3,0,-5,-15,3
2026-07-15,3048.T,35,-15,11,0,-5,-6,0
2026-07-15,2802.T,32,-17,15,0,-5,-11,0
2026-07-16,3231.T,89,10,18,0,5,3,3
2026-07-16,8473.T,88,17,6,0,5,7,3
2026-07-16,4307.T,57,20,7,0,5,2,0
2026-07-16,9432.T,82,13,11,0,5,0,3
2026-07-16,5401.T,82,14,10,0,5,0,3
2026-07-16,1605.T,81,20,0,0,5,3,3
2026-07-16,7011.T,69,10,11,0,5,7,0
2026-07-16,7164.T,80,14,18,0,5,3,3
2026-07-16,3003.T,78,13,7,0,5,0,3
2026-07-16,1928.T,57,5,18,0,5,-6,6
2026-07-16,8425.T,75,9,8,0,5,0,3
2026-07-16,8303.T,57,13,8,0,5,-2,0
2026-07-16,8058.T,74,8,11,0,5,0,0
2026-07-16,8252.T,57,13,-3,0,5,3,3
2026-07-16,5802.T,69,-12,18,0,5,8,0
2026-07-16,4519.T,64,-15,17,0,5,7,0
2026-07-16,9202.T,63,-10,18,0,5,0,0
2026-07-16,8306.T,61,20,-1,0,5,-13,0
2026-07-16,5805.T,60,-20,18,0,5,7,0
2026-07-16,3741.T,53,-20,18,0,5,0,0
2026-07-16,4188.T,53,14,-1,0,5,-15,0
2026-07-16,2802.T,52,-20,15,0,5,2,0
2026-07-16,8593.T,49,9,-3,0,5,-15,3
2026-07-16,3048.T,45,-15,11,0,5,-6,0
2026-07-17,9432.T,79,20,11,0,-5,0,3
2026-07-17,3231.T,57,10,18,0,-5,3,3
2026-07-17,3003.T,75,20,7,0,-5,0,3
2026-07-17,8425.T,57,18,8,0,-5,0,3
2026-07-17,4307.T,57,20,7,0,-5,2,0
2026-07-17,5401.T,57,14,10,0,-5,0,3
2026-07-17,1605.T,71,20,0,0,-5,3,3
2026-07-17,1928.T,69,6,18,0,-5,-6,6
2026-07-17,7164.T,69,0,18,0,-5,3,3
2026-07-17,3048.T,63,17,11,0,-5,-10,0
2026-07-17,9202.T,62,-1,18,0,-5,0,0
2026-07-17,8593.T,59,20,-3,0,-5,-6,3
2026-07-17,5802.T,59,-12,18,0,-5,8,0
2026-07-17,8473.T,59,-2,6,0,-5,7,3
2026-07-17,8252.T,58,10,-3,0,-5,3,3
2026-07-17,7011.T,56,-7,11,0,-5,7,0
2026-07-17,8306.T,53,20,-1,0,-5,-11,0
2026-07-17,8058.T,53,-6,11,0,-5,3,0
2026-07-17,4519.T,51,-18,17,0,-5,7,0
2026-07-17,5805.T,50,-20,18,0,-5,7,0
2026-07-17,8303.T,49,-2,8,0,-5,-2,0
2026-07-17,4188.T,46,15,-1,0,-5,-13,0
2026-07-17,2802.T,45,-17,15,0,-5,2,0
2026-07-17,3741.T,42,-20,18,0,-5,-1,0
2026-07-17,9432.T,79,20,11,0,-5,0,3
2026-07-17,3231.T,57,10,18,0,-5,3,3
2026-07-17,3003.T,75,20,7,0,-5,0,3
2026-07-17,8425.T,57,18,8,0,-5,0,3
2026-07-17,4307.T,57,20,7,0,-5,2,0
2026-07-17,5401.T,57,14,10,0,-5,0,3
2026-07-17,1605.T,71,20,0,0,-5,3,3
2026-07-17,1928.T,69,6,18,0,-5,-6,6
2026-07-17,7164.T,69,0,18,0,-5,3,3
2026-07-17,3048.T,63,17,11,0,-5,-10,0
2026-07-17,9202.T,62,-1,18,0,-5,0,0
2026-07-17,8593.T,59,20,-3,0,-5,-6,3
2026-07-17,5802.T,59,-12,18,0,-5,8,0
2026-07-17,8473.T,59,-2,6,0,-5,7,3
2026-07-17,8252.T,58,10,-3,0,-5,3,3
2026-07-17,7011.T,56,-7,11,0,-5,7,0
2026-07-17,8306.T,53,20,-1,0,-5,-11,0
2026-07-17,8058.T,53,-6,11,0,-5,3,0
2026-07-17,4519.T,51,-18,17,0,-5,7,0
2026-07-17,5805.T,50,-20,18,0,-5,7,0
2026-07-17,8303.T,49,-2,8,0,-5,-2,0
2026-07-17,4188.T,46,15,-1,0,-5,-13,0
2026-07-17,2802.T,43,-17,15,0,-5,0,0
2026-07-17,3741.T,42,-20,18,0,-5,-1,0
2026-07-21,7164.T,80,16,18,0,-5,3,3
2026-07-21,3231.T,79,10,18,0,-5,3,3
2026-07-21,8473.T,79,18,6,0,-5,7,3
2026-07-21,5401.T,77,19,10,0,-5,0,3
2026-07-21,9432.T,76,17,11,0,-5,0,3
2026-07-21,1928.T,57,10,18,0,-5,-6,6
2026-07-21,1605.T,71,20,0,0,-5,3,3
2026-07-21,8058.T,57,14,11,0,-5,0,0
2026-07-21,4307.T,69,15,7,0,-5,2,0
2026-07-21,3003.T,66,17,7,0,-5,-6,3
2026-07-21,8425.T,66,10,8,0,-5,0,3
2026-07-21,3048.T,66,20,11,0,-5,-10,0
2026-07-21,8303.T,65,14,8,0,-5,-2,0
2026-07-21,7011.T,65,2,11,0,-5,7,0
2026-07-21,4519.T,64,-5,17,0,-5,7,0
2026-07-21,5802.T,62,-9,18,0,-5,8,0
2026-07-21,9202.T,62,-1,18,0,-5,0,0
2026-07-21,8252.T,58,10,-3,0,-5,3,3
2026-07-21,8306.T,53,20,-1,0,-5,-11,0
2026-07-21,5805.T,50,-20,18,0,-5,7,0
2026-07-21,8593.T,47,17,-3,0,-5,-15,3
2026-07-21,3741.T,43,-20,18,0,-5,0,0
2026-07-21,2802.T,40,-20,15,0,-5,0,0
2026-07-21,4188.T,38,9,-1,0,-5,-15,0
2026-07-22,1928.T,57,15,18,0,5,0,6
2026-07-22,3231.T,89,10,18,0,5,3,3
2026-07-22,5401.T,82,14,10,0,5,0,3
2026-07-22,7011.T,57,18,11,0,5,7,0
2026-07-22,9432.T,79,10,11,0,5,0,3
2026-07-22,7164.T,79,0,18,0,5,3,3
2026-07-22,8473.T,77,6,6,0,5,7,3
2026-07-22,4307.T,75,11,7,0,5,2,0
2026-07-22,8058.T,69,14,11,0,5,-6,0
2026-07-22,4519.T,73,-6,17,0,5,7,0
2026-07-22,8425.T,68,2,8,0,5,0,3
2026-07-22,1605.T,67,9,0,0,5,3,0
2026-07-22,3003.T,67,2,7,0,5,0,3
2026-07-22,5802.T,66,-15,18,0,5,8,0
2026-07-22,8303.T,64,3,8,0,5,-2,0
2026-07-22,8252.T,64,6,-3,0,5,3,3
2026-07-22,3048.T,63,7,11,0,5,-10,0
2026-07-22,8306.T,61,20,-1,0,5,-13,0
2026-07-22,5805.T,60,-20,18,0,5,7,0
2026-07-22,9202.T,60,-13,18,0,5,0,0
2026-07-22,3741.T,55,-18,18,0,5,0,0
2026-07-22,8593.T,53,13,-3,0,5,-15,3
2026-07-22,2802.T,53,-17,15,0,5,0,0
2026-07-22,4188.T,42,3,-1,0,5,-15,0
2026-07-23,3231.T,83,14,18,0,-5,3,3
2026-07-23,1928.T,57,11,18,0,-5,0,6
2026-07-23,7011.T,57,18,11,0,-5,7,0
2026-07-23,8473.T,75,14,6,0,-5,7,3
2026-07-23,8058.T,69,17,11,0,-5,0,0
2026-07-23,5401.T,72,14,10,0,-5,0,3
2026-07-23,7164.T,72,3,18,0,-5,3,3
2026-07-23,3003.T,69,14,7,0,-5,0,3
2026-07-23,4519.T,66,-3,17,0,-5,7,0
2026-07-23,8425.T,66,10,8,0,-5,0,3
2026-07-23,9432.T,65,6,11,0,-5,0,3
2026-07-23,8303.T,57,6,8,0,-5,-2,0
2026-07-23,5802.T,55,-16,18,0,-5,8,0
2026-07-23,4307.T,54,-3,7,0,-5,5,0
2026-07-23,1605.T,51,6,0,0,-5,0,0
2026-07-23,8306.T,51,20,-1,0,-5,-13,0
2026-07-23,5805.T,49,-20,18,0,-5,6,0
2026-07-23,3048.T,48,2,11,0,-5,-10,0
2026-07-23,8593.T,43,13,-3,0,-5,-15,3
2026-07-23,3741.T,43,-20,18,0,-5,0,0
2026-07-23,2802.T,43,-20,15,0,-5,3,0
2026-07-23,9202.T,43,-20,18,0,-5,0,0
2026-07-23,8252.T,40,-8,-3,0,-5,3,3
2026-07-23,4188.T,35,6,-1,0,-5,-15,0
2026-07-24,4519.T,82,13,17,0,-5,7,0
2026-07-24,1928.T,57,11,18,0,-5,0,6
2026-07-24,7011.T,57,20,11,0,-5,7,0
2026-07-24,9432.T,77,18,11,0,-5,0,3
2026-07-24,3231.T,75,6,18,0,-5,3,3
2026-07-24,3003.T,74,19,7,0,-5,0,3
